id,nombre,apellido,email,genero,valor_tx,numero_identificacion,tipo_identificacion
1,Sammie,Islep,sislep0@arstechnica.com,Male,$519120.76,445942505,PP
2,Jethro,Hillock,jhillock1@adobe.com,Male,$945642.74,323596398,IT
3,Willdon,Colaton,wcolaton2@rambler.ru,Male,$667924.03,949352261,CC
4,Axe,Florey,aflorey3@state.tx.us,Male,$552174.73,999633225,IT
5,Boycie,Rielly,brielly4@cbc.ca,Male,$200475.52,930156673,IT
6,Mitchael,Orbine,morbine5@dmoz.org,Male,$145137.59,931417277,CC
7,Dag,Sumner,dsumner6@dagondesign.com,Male,$279716.95,599907049,PP
8,Stirling,Domaschke,sdomaschke7@wp.com,Male,$190422.75,169203866,IT
9,Barbara-anne,Brosenius,bbrosenius8@netscape.com,Female,$294363.37,461191176,PP
10,Gayla,Keggin,gkeggin9@example.com,Female,$943536.51,535187981,IT
11,Ely,Krishtopaittis,ekrishtopaittisa@yahoo.co.jp,Male,$457287.26,747100639,PP
12,Ad,Lappine,alappineb@ft.com,Male,$526276.18,754556803,CC
13,Delmar,Edmands,dedmandsc@patch.com,Male,$795413.15,376577198,CC
14,Viole,Kellett,vkellettd@ow.ly,Female,$420079.50,553084565,PP
15,Liliane,Benardeau,lbenardeaue@linkedin.com,Female,$884195.34,14393219,IT
16,Charin,Roglieri,croglierif@google.es,Female,$224863.01,375333903,IT
17,Camille,Barge,cbargeg@unblog.fr,Female,$519817.43,768176301,PP
18,Udell,Babington,ubabingtonh@telegraph.co.uk,Male,$114124.32,569173372,CC
19,Lenci,McMillan,lmcmillani@biglobe.ne.jp,Male,$710463.61,49004915,IT
20,Paxon,O'Toole,potoolej@google.com.au,Male,$717904.10,980319298,CC
21,Richardo,Braisher,rbraisherk@tinyurl.com,Male,$133322.47,432047907,CC
22,Cherianne,Birkinshaw,cbirkinshawl@ft.com,Female,$524465.81,160284662,IT
23,Karol,Borrows,kborrowsm@github.io,Female,$132575.50,621075028,CC
24,Claudia,Vinten,cvintenn@omniture.com,Female,$219727.61,843316861,PP
25,Phineas,Barcke,pbarckeo@umich.edu,Male,$247540.98,891069340,CC
26,Van,Janway,vjanwayp@fotki.com,Male,$539896.51,170941081,CC
27,Eloisa,Grieveson,egrievesonq@51.la,Female,$836918.30,11494931,IT
28,Kippy,Emmert,kemmertr@usnews.com,Male,$889053.20,583200441,IT
29,Helenka,McCritichie,hmccritichies@gov.uk,Female,$901476.08,478917257,IT
30,Christin,Dinan,cdinant@zimbio.com,Female,$187928.24,314391047,IT
31,Allys,Kynan,akynanu@over-blog.com,Female,$250810.85,554622682,IT
32,Pete,Martschke,pmartschkev@dmoz.org,Male,$118502.38,194734892,CC
33,Marty,Diviny,mdivinyw@rambler.ru,Male,$138928.02,804523327,CC
34,Radcliffe,Norbury,rnorburyx@army.mil,Male,$419598.64,308884615,CC
35,Eldredge,Bernardin,ebernardiny@wunderground.com,Male,$991303.79,309828692,IT
36,Tonya,Yarwood,tyarwoodz@typepad.com,Female,$787758.57,752368639,IT
37,Idalia,Wiggington,iwiggington10@ning.com,Female,$923144.41,942928374,PP
38,Travers,McGinnis,tmcginnis11@huffingtonpost.com,Male,$511704.15,1044080153,CC
39,Lurette,Hexam,lhexam12@nature.com,Female,$555128.44,176838659,IT
40,Dunn,Ottiwill,dottiwill13@cisco.com,Male,$619430.99,273334762,IT
41,Meir,Simoneau,msimoneau14@google.ca,Male,$272426.87,590605948,CC
42,Craig,Matsell,cmatsell15@imgur.com,Male,$392302.97,898095074,CC
43,Fania,O'Scannill,foscannill16@biglobe.ne.jp,Female,$575920.44,70454991,CC
44,Karna,Walczak,kwalczak17@baidu.com,Female,$860278.68,174452755,IT
45,Lannie,Cruxton,lcruxton18@artisteer.com,Male,$333786.18,877669113,IT
46,Che,Borton,cborton19@bbc.co.uk,Male,$611770.93,478937049,PP
47,Fae,Ablott,fablott1a@pagesperso-orange.fr,Female,$686490.13,47163891,IT
48,Olag,Eschelle,oeschelle1b@homestead.com,Male,$174676.48,436405355,PP
49,Haleigh,Aggas,haggas1c@narod.ru,Female,$415069.79,558022732,IT
50,Curt,Leftbridge,cleftbridge1d@sohu.com,Male,$164251.19,561654944,IT
51,Cosimo,Mertel,cmertel1e@cloudflare.com,Male,$862772.50,43691754,PP
52,Jules,Littlekit,jlittlekit1f@amazon.com,Male,$369148.96,549139365,CC
53,Torin,Colnett,tcolnett1g@paginegialle.it,Male,$805608.23,122203071,CC
