id,nombre,apellido,email,genero,valor_tx,numero_identificacion,tipo_identificacion
1,Meghan,Houseman,mhouseman0@jalbum.net,Female,$600941.48,821804228,CC
2,Britt,Burchmore,bburchmore1@amazon.de,Male,$160910.58,206990666,PP
3,Kenna,Polle,kpolle2@nationalgeographic.com,Female,$839059.81,476897990,PP
4,Kimmi,Freeberne,kfreeberne3@ucoz.ru,Female,$232415.38,947000714,PP
5,Kai,Connah,kconnah4@nyu.edu,Female,$817161.04,92784151,IT
6,Hakeem,Angove,hangove5@goodreads.com,Male,$404587.90,14962788,PP
7,Adolph,Knevett,aknevett6@aol.com,Male,$645828.07,315212171,IT
8,Albie,Bayless,abayless7@economist.com,Male,$375756.40,747143893,CC
9,Damara,Del Checolo,ddelchecolo8@wikipedia.org,Female,$735332.73,1005419351,CC
10,Koenraad,Cullnean,kcullnean9@cargocollective.com,Male,$908691.21,608915303,IT
11,Zena,Maslen,zmaslena@istockphoto.com,Female,$196660.69,745542619,PP
12,Byram,Topping,btoppingb@technorati.com,Male,$962784.14,739294737,CC
13,Malorie,Pamphilon,mpamphilonc@sfgate.com,Female,$550851.85,715822358,PP
14,Rhodia,Hissett,rhissettd@php.net,Female,$459677.21,80597609,CC
15,Biddie,Dalston,bdalstone@blinklist.com,Female,$416475.66,399919755,CC
16,Rufus,Raine,rrainef@tmall.com,Male,$961217.92,681912285,IT
17,Wayland,Bullivent,wbulliventg@trellian.com,Male,$120395.47,158257401,CC
18,Rennie,Holah,rholahh@t.co,Female,$162351.90,831004499,PP
19,Orlan,Yo,oyoi@scribd.com,Male,$714601.60,259396902,IT
20,Jobi,Wilfling,jwilflingj@pagesperso-orange.fr,Female,$264207.51,1017319288,IT
21,Consalve,Elstow,celstowk@yellowpages.com,Male,$635113.55,1003742615,PP
22,Renard,Elms,relmsl@patch.com,Male,$905386.32,164036562,PP
23,Walker,Gepheart,wgepheartm@toplist.cz,Male,$177913.34,567580572,PP
24,Breena,Scothern,bscothernn@apache.org,Female,$990906.59,232907400,PP
25,Morgun,Veelers,mveelerso@unc.edu,Male,$720694.93,693282216,CC
26,Wallace,Munroe,wmunroep@virginia.edu,Male,$960547.31,165750342,PP
27,Terrell,Brugman,tbrugmanq@eepurl.com,Male,$570317.78,882555771,CC
28,Kennedy,Dalgarnocht,kdalgarnochtr@fotki.com,Male,$605639.69,71286433,CC
29,Arda,Perton,apertons@oakley.com,Female,$211985.25,592378497,PP
30,Kennan,Geane,kgeanet@ebay.co.uk,Male,$361496.76,533790707,PP
31,Alisha,Baggiani,abaggianiu@google.pl,Female,$613049.34,591941916,CC
32,Dorri,Currm,dcurrmv@godaddy.com,Female,$417861.38,81930132,PP
33,Reed,Preto,rpretow@zdnet.com,Male,$686441.00,571925858,PP
34,Keely,Johnikin,kjohnikinx@com.com,Female,$496178.10,779568112,CC
35,Rinaldo,Mapledoore,rmapledoorey@free.fr,Male,$942148.03,596138431,IT
36,Gilemette,Bramsen,gbramsenz@yelp.com,Female,$726410.60,463022642,IT
37,Nicholas,Baal,nbaal10@yahoo.com,Male,$512873.20,1017727535,IT
